Name,Country,Overall,Potential,Pace,Shooting,Passing,Dribbling,Defending,Physical
Messi,Argentina,93,93,85,92,91,96,38,65
Ronaldo,Portugal,90,90,87,93,82,88,34,77
Mbappe,France,91,92,97,88,80,92,39,78
Haaland,Norway,91,94,90,93,75,82,45,88
Neymar,Brazil,89,89,91,86,87,95,36,60
Kane,England,89,90,74,92,83,80,47,85
Salah,Egypt,89,90,89,87,81,90,47,75
DeBruyne,Belgium,91,91,76,86,94,88,64,79
Vinicius,Brazil,89,92,95,82,79,94,32,68
Bellingham,England,88,91,82,81,85,88,63,78
Pedri,Spain,86,92,80,70,89,90,64,63
Modric,Croatia,87,87,73,76,89,91,72,64
Gvardiol,Croatia,86,90,78,65,77,69,85,85
VanDijk,Netherlands,89,89,72,60,71,70,89,86
Rodri,Spain,88,89,69,66,90,78,75,82
